class_mark,text_review
1,"Матрица Ищите в фильме смысл. Вы его увидите.Идеальная теория, которая, я думаю, рано или поздно приходила на ум каждому. Думаю каждый когда-то сомневался в реальности, в том, что именно есть реальным. А может это сон? Почему сон всегда реальнее того, что мы видим перед собой? Все эти и многие другие вопросы раскрыты в трилогии «Матрицы» и небольшом анимационном эпилоге — «Аниматрице». Режиссеры и сценаристы на славу постарались над тем, чтобы скучать при просмотре не пришлось. Иногда забываешь, что это не жизнь и сопереживаешь Нео, как будто бы это ты сам. История Тринити и Нео — история Тристана и Изольды XXII века, они идут до конца, то и делая, что выручая друг друга из различных передряг. Сила любви, которую Создатель не смог уничтожить логическими уравнениями. Они вместе до самого конца. Эффекты и саундтреки на высоте, но не это здесь самое главное. Хотя и все треки из «Матрицы» были записаны одним альбомом, выпущенным в нескольких тысячах копий. Я еще не один вечер заслушивался этой подборкой, подходящей практически под любое настроение. Но в своей рецензии я принципиально буду краток. 10 из 10"
1,"Побег из Шоушенка Занимайся жизнью или занимайся смертьюДавно я хотела посмотреть этот фильм, но почему-то не решалась и в какой-то степени думала, что этот фильм очень предсказуемый. Но сегодня я выделила время на просмотр этого фильма и было не разочарована. Как мне кажется, то фильмов про тюрьму было снято довольно много, но 'Побег из Шоушенка' очень, очень хороший фильм, абсолютно не похожий на другие. Стивен Кинг написал гениальную и интересную книгу, а Фрэнк Дарабонт снял по этой книге восхитительный фильм. В этом фильме мы увидим, что человек, который не виновен не в чем, попадает в самую знаменитую американскую тюрьму 'Шоушенк'. Как мне кажется, в этом фильме не рассказывается о самом побеге из тюрьмы, а о силе воли и вере в лучшее человека. Кинокартина учит нас тому, как нужно правильно дружить и эта картина очень мотивирует, ибо тут, опять же повторюсь, рассказывается о силе воли человека. Тим Роббинс сыграл такого морально сильного человека, который на протяжении двадцати лет понимал, что ничего изменить невозможно и контролировал себя, старался не сойти с ума. И у него это получилось. Он играл настолько натурально, что, зачастую именно из-за игры актеров ты втягивался в этот фильм. Он сохранял спокойствие и был сам себе на уме все"
1,"Матрица Ищите в фильме смысл. Вы его увидите.Можно начать с того, что этот фильм показывает очень четкую хорошо спланированную марионеточную систему, которая может заставить поверить в суть и цельность человеческой жизни (согласно легенде фильма). Оценивать этот фильм несложно, но понимать и рассуждать о 'философии' его, становится не так просто как может показаться. Вера в судьбу и манипулирование тобой как сознанием так и телом это и есть 'прототип' предложенный Морфиусом Нео, который трактует главную идею фильма, разглядевшею мной. Результат гениальности этой картины заключен в очень продуманной форме последовательности сценария и дальнейшей реализацией его братьями Вачовски. За что им огромное спасибо! Что говорить про актерский состав, то тут нет претензий ни к одному персонажу (как бы это поспешно не было сказано). Главную роль героя Нео превосходно исполнил Киану Ривз, да и подумать сложно было после просмотра фильма: кто исполнил бы её лучше? Но не хочется переходить на актерскую игру, а просто поделиться впечатлениями которые сложилась после просмотра фильма. Да и подумать о сюжете этой киноленты и что скрыто от людских глаз. - 'целый мирок надвинутый на глаза, чтобы спрятать правду' 'Что есть реальность и как определить её..?' такой фразой я увенчал бы этот культовый фильм. 10 из 10"
1,"Список Шиндлера Кто не знает, что есть в истории фильм 'Список Шиндлера'? Кто не знает, что Стивен Спилберг долго не осмеливался снимать 'Список Шиндлера'? Кто не знает, что фильм после выхода в прокат мгновенно оказался во всех списках лучших фильмов не только года, но и за всю историю вообще? 'Желание снять этот фильм было просто невероятным, - вспоминает Спилберг. - Казалось, я мог подождать несколько месяцев, до февраля девяносто четвертого года, и тогда многих проблем удалось бы избежать (я снимал фильм о Шиндлере и одновременно заканчивал 'Парк Юрского Периода'). Но возникла какая-то жгучая потребность, словно Всевышний призывал меня сделать фильм без промедления, и я решил для себя: 'Или сейчас, или никогда'. Друзья отговаривали: 'Ты ждал десять лет, книга лежит у тебя с восемьдесят второго года. Почему бы не подождать еще чуть-чуть?' Я отвечал им: 'Это трудно объяснить, но мне жизненно необходимо поставить фильм о холокосте именно сейчас. Все, я еду в Польшу''. Тяжело смотреть. Это я пишу искренне. Тяжело, прежде всего, в эмоциональном плане. Лично я не заметил, что мэтр намеренно старался приукрасить события в фильме так, чтобы выжимать из глаз зрителей слезы литрами. Мое дыхание сильно перехватывало от того, что воображение беспристрастно дальше рисовало перед глазами все те ужасы,"
1,"Список Шиндлера Фильм 'Список Шиндлера' очевидно один из самых трагичных, волнующих и откровенных фильмов, которые я когда-либо видел… Ужасы фашизма, этой ужаснейшей идеологии, всей этой кошмарной политики Германии по отношению к евреям — Стивен Спилберг постарался передать все в точности. Считаю, что кинолента просто шедевральна. Что касается главного персонажа… Если не ошибаюсь, то В. Белинский в XIX веке написал рецензию на произведение Островского 'Гроза'. Названа эта рецензия была 'Луч света в темном царстве'. Почему-то именно эта фраза у меня ассоциируется с Оскаром Шиндлером — действительно, некая отдушина видеть ТАКОГО человека в этом царстве бесправия и антигуманности, коим, бесспорно, является фашизм и истребление так называемых 'грязных рас'. Один из лучших персонажей в истории кинематографа — Лайам Нисон сыграл феноменально. Однозначно, одна из самых лучших кинолент в истории человечества. Не рекомендую, а ЗАСТАВЛЯЮ посмотреть это каждому, чтобы знать, что такой кошмар, как фашизм, не должен повториться в будущем. 10 из 10"
1,"1+1 Рискуя снискать репутацию циника и бездушного человека, я все равно скажу: я не люблю социальные драмы. Хотя в принципе, что в этом такого? По-моему, честнее сказать об этом ДО, чем ПОСЛЕ мяться и мямлить что-то о философском смысле, милосердии, глубокой подоплеке и еще черт знаем о чем. Потому я не собиралась смотреть этот фильм про инвалида и его сиделку. И даже белозубая улыбка Омара Си не смогла бы изменить моего мнения. Но увидев трейлер среди киноновинок, просто не смогла пройти мимо. Это совсем не то, чем кажется. Никакого морализаторства, никаких разговоров о роке, фатуме, никакого смирения перед случившимся. Это очень... прозрачная история о двух неординарных людях: стойким, несломавшимся Филиппом и прямым как... топор Дрисом. История дружбы, необычной с точки зрения социальных слоев, положения в обществе, материального достатка, но такая естественная с позиции простого человеческого общения. Несмотря на непреодолимую трагедию одного человека, фильм очень светлый, а временами - уморительно смешной. Возможно, когда-нибудь я пересмотрю его, чтобы вернуть это ощущение безоговорочного твердого оптимизма, а пока - я не жалею о потраченном времени и 8 из 10. P.S. Чудесная, как перебор стеклянных бусин в руках, как будто неуверенная, затухающая, но с уверенным знаком 'плюс', мелодия титров впервые со времен детства заставила меня"
1,"Список Шиндлера Мечты о просмотре этой ленты Стивена Спилберга у меня появились довольно-таки давно, я приобрел этот фильм, но все как-то не находил достаточного количества времени для просмотра, ведь 195 минут, это совсем не шуточки. Но вот, я собрался духом и отсмотрел все от начала до самого конца. Что же? Это стоило того, даже более чем. Такое нужно смотреть, ведь это история, история, которая касается всех и каждого без исключения. Важно отметить, что здесь перед нами не просто развлекательное кино, нет, это очень познавательное и нужное каждому человеку творение, которое поможет узнать множество интересных вещей. Я с полной уверенностью хочу сказать, что “Список Шиндлера” будет интересен всем личностям, людям любой расы и национальности. В особенности, эту ленту нужно смотреть тем людям, чьи родственники воевали, например, как у меня. Многие в наше время не любят читать, ну или вообще не читают, так как в эпоху высоких технологий все заменили, так называемые, машины. Это я к чему? Это я к тому, что нужно хотя бы смотреть такие фильмы, как этот Спилберга, чтобы хоть как-то самообразовываться, а иначе мы доиграемся до того, что никто в итоге не будет помнить о том, что когда-то была великая война. Война, в которой немцы хотели стереть с"
1,"Побег из Шоушенка Занимайся жизнью или занимайся смертьюНаконец мои руки добрались до этой картины. Сколько бы людей мне не советовало, сколько бы раз я не просматривала топ-250 в Кинопоиске - всё равно откладывала. И вот - фильм просмотрен, находится в папке с названием 'Впечатлило' и, что самое важное, картина не исчезает из памяти. Буду уверена, что и с моей то памятью я буду ещё долго находиться под впечатлением и отходить от картины. Сюжет: Энди Дюфрейна, банкира и верного мужа, сажают в тюрьму за убийства жены и её любовника, которых он не совершал. Тюрьма под названием 'Шоушенк', где 'все невиновны'. Непосредственно мои мысли: Представляете, ведь всё было продумано, он не сомневался, что молоточек для камней выведет его в жизнь! Это обещание, которое дал Ред, верёвка, постеры с Монро и другими красавицами - весь этот план крутился у него в мозгу с первого дня пребывания молоточка в Шоушенке. 'Я люблю камни. Это моё хобби.' Надежда - вот, что спасло Энди; вот причина, по которой он стал легендой в этой тюрьме:; вот, почему он всем утёр нос - особенно директору. Ещё я обратила внимание на место, где жил и работал Брукс, где в последствии в его комнате от него самого осталась лишь надпись"
1,"Список Шиндлера При просмотре фильма “Список Шиндлера” меня обуревало море эмоций. Несомненно, главный плюс фильма в том, что он черно белый. Невозможно представить его по-другому, это позволяет глубже вникнуть в происходящее. Серое небо, серая одежда, серые лица внутренне давят на зрителя. Спилберг гениальный режиссер, он точно расставил приоритеты данной киноленты, сделав акцент не на времени, а на людях, множество людей объединенных холокостом. Мы видим множество лиц, видим подлецов, отчаявшихся женщин и мужчин, детей. Вначала Оскар показался мне очень мелочным, он хотел заработать 2 машины полных денег и уехать обратно. Ему не важны люди, ему было безразлично все кроме денег, но начиная с середины фильма мы видим насколько Оскар человечен, ему не безразличны люди, ужасная сцена зачистки еврейского гетто, меняет его и он знает что нужно делать, он понимает что деньги не важны, становится “настоящим человеком” с искренней душой. Так же несомненный плюс фильма это сильная концовка Оскар просит прощение у людей за то что он не смог спасти больше, но несомненно этот человек внес огромный вклад в спасение людей. -Тот, кто спасает одну жизнь, спасает весь мир. 10 из 10 и не как иначе"
1,"Зеленая миля Стыдно признаться, но для меня этот фильм является настоящей каторгой. Я с ним экспериментировал, пытался не заплакать, но слезы текли и я ничего не мог поделать. Не знаю с чего начать и вот наверное скажу, что фильм велик, хотя бы потому что лучше книги, он красив, логичен, а самое главное, он показывает раскаявшихся людей не упоминая об их деяниях. В книге Кинга Пол желает наказать всех за их чудовищные преступления, он презирает мысли о том что те могут попасть в рай. В фильме же Хэнкс добрый, он помогает заблудшим душам смириться с их судьбами, он с пониманием и не поддельным интересом слушает самые приятные воспоминания смертников. Здесь много характеров, тонко отработанных и не по кому не скажешь, что они совершили то, что совершили. Долго раздумывая над этим я пытался найти ответы на вопросы, мучавшие меня. Оказалось что действительно 96% смертников ведут себя как ангелы в камерах заключения. 'Зеленая миля' богата знаменитым актерским составом, на общем фоне впереди лишь двое: Джон Коффи и Пол Эджкомб, остальные являются частью интерьера или изображают ступени подводящие к финалу. Нельзя сказать об этой манере снятия картины ничего плохого ведь и без того все плачут без остановки. Но обратите внимание этому фильму не дали"
